"ANO","NIVEL","CODMUNRES","TO","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT"
2015,"MUNICIPIO","421565",56,0,10,46,1,15,17,5,34,22,1,0,0,0,0,1
2015,"MUNICIPIO","421567",40,0,4,36,1,13,7,5,27,13,0,0,0,0,0,2
2015,"MUNICIPIO","421568",15,0,2,13,0,2,6,2,9,6,0,0,0,0,0,0
2015,"MUNICIPIO","421569",8,0,2,6,0,2,3,0,5,3,0,0,0,0,0,0
2015,"MUNICIPIO","421570",118,0,14,104,5,24,46,8,77,41,0,0,0,0,0,1
2015,"MUNICIPIO","421575",17,0,2,15,0,5,4,5,14,3,0,0,0,0,0,1
2015,"MUNICIPIO","421580",418,0,35,383,25,86,120,48,239,179,0,0,0,0,0,15
2015,"MUNICIPIO","421590",27,0,3,24,0,4,9,9,14,13,0,0,0,0,0,1
2015,"MUNICIPIO","421600",64,0,8,56,0,16,17,9,33,31,0,0,0,0,0,1
2015,"MUNICIPIO","421605",34,0,8,26,1,7,3,3,24,10,0,0,0,0,0,0
2015,"MUNICIPIO","421610",59,0,6,53,0,10,16,12,34,25,0,0,0,0,0,0
2015,"MUNICIPIO","421620",331,0,35,296,20,58,84,32,191,140,1,0,2,1,1,13
2015,"MUNICIPIO","421625",36,0,1,35,1,10,13,4,20,16,0,0,0,0,0,0
2015,"MUNICIPIO","421630",119,0,20,99,2,31,28,20,73,46,0,0,0,0,0,6
2015,"MUNICIPIO","421635",18,0,1,17,0,4,4,2,9,9,0,0,0,0,0,0
2015,"MUNICIPIO","421640",40,0,2,38,3,11,10,2,24,16,0,0,0,0,0,1
2015,"MUNICIPIO","421650",188,0,25,163,5,30,54,30,103,85,0,0,0,0,0,4
2015,"MUNICIPIO","421660",1242,0,122,1120,66,291,393,141,680,562,3,0,1,0,1,29
2015,"MUNICIPIO","421670",77,0,10,67,2,19,17,10,51,26,0,0,0,0,0,1
2015,"MUNICIPIO","421680",54,0,6,48,4,14,14,3,30,24,0,0,0,0,0,1
2015,"MUNICIPIO","421690",151,0,12,139,7,38,27,20,76,75,0,0,1,1,0,3
2015,"MUNICIPIO","421700",66,0,12,54,1,13,14,4,38,28,0,0,0,0,0,3
2015,"MUNICIPIO","421710",17,0,1,16,1,6,6,1,9,8,0,0,0,0,0,0
2015,"MUNICIPIO","421715",10,0,3,7,0,1,1,0,8,2,0,0,0,0,0,0
2015,"MUNICIPIO","421720",231,0,38,193,4,59,50,32,130,101,1,0,0,0,0,7
2015,"MUNICIPIO","421725",22,0,2,20,2,2,7,3,10,12,0,0,0,0,0,0
2015,"MUNICIPIO","421730",59,0,16,43,0,10,19,4,36,23,0,0,0,0,0,0
2015,"MUNICIPIO","421740",67,0,3,64,2,12,24,9,38,29,0,0,0,0,0,0
2015,"MUNICIPIO","421750",100,0,12,88,2,30,24,12,54,46,0,0,0,0,0,3
2015,"MUNICIPIO","421755",18,0,0,18,0,6,4,0,12,6,0,0,0,0,0,0
2015,"MUNICIPIO","421760",65,0,4,61,5,18,16,8,38,27,0,0,0,0,0,1
2015,"MUNICIPIO","421770",137,0,22,115,6,20,34,24,77,60,0,0,1,1,0,8
2015,"MUNICIPIO","421775",19,0,2,17,0,5,5,4,10,9,0,0,0,0,0,0
2015,"MUNICIPIO","421780",99,0,19,80,4,20,26,8,58,41,0,0,0,0,0,1
2015,"MUNICIPIO","421790",62,0,6,56,3,13,13,12,39,23,0,0,0,0,0,0
2015,"MUNICIPIO","421795",12,0,2,10,0,3,2,1,6,6,0,0,0,0,0,1
2015,"MUNICIPIO","421800",194,0,22,172,2,42,62,27,111,83,0,0,0,0,0,4
2015,"MUNICIPIO","421810",40,0,2,38,2,8,8,2,25,15,0,0,0,0,0,0
2015,"MUNICIPIO","421820",255,0,19,236,10,53,71,30,133,122,0,0,0,0,0,6
2015,"MUNICIPIO","421825",42,0,6,36,2,9,8,5,25,17,1,0,1,0,1,1
2015,"MUNICIPIO","421830",116,0,10,106,4,23,34,16,57,59,0,0,0,0,0,3
2015,"MUNICIPIO","421835",23,0,3,20,0,5,9,2,14,9,0,0,0,0,0,0
2015,"MUNICIPIO","421840",56,0,1,55,1,11,16,13,26,30,0,0,0,0,0,0
2015,"MUNICIPIO","421850",32,0,5,27,1,8,7,3,16,16,0,0,0,0,0,1
2015,"MUNICIPIO","421860",43,0,4,39,1,9,12,4,23,20,0,0,0,0,0,2
2015,"MUNICIPIO","421870",610,0,55,555,25,114,162,82,337,273,0,0,1,0,1,13
2015,"MUNICIPIO","421875",27,0,2,25,2,2,8,4,10,17,1,0,1,0,1,0
2015,"MUNICIPIO","421880",76,0,9,67,2,15,21,10,38,37,0,0,0,0,0,2
2015,"MUNICIPIO","421885",21,0,1,20,0,6,8,2,14,7,0,0,0,0,0,0
2015,"MUNICIPIO","421890",74,0,14,60,2,11,28,5,42,32,0,0,0,0,0,1
2015,"MUNICIPIO","421895",12,0,1,11,1,1,4,1,6,6,0,0,0,0,0,0
2015,"MUNICIPIO","421900",160,0,8,152,5,46,53,13,80,80,0,0,2,0,2,3
2015,"MUNICIPIO","421910",22,0,3,19,0,4,7,2,12,10,0,0,0,0,0,0
2015,"MUNICIPIO","421915",25,0,1,24,0,6,3,7,18,7,0,0,0,0,0,0
2015,"MUNICIPIO","421917",30,0,4,26,1,6,5,2,19,11,0,0,0,0,0,2
2015,"MUNICIPIO","421920",52,0,1,51,4,17,13,7,33,19,0,0,0,0,0,0
2015,"MUNICIPIO","421930",264,0,27,237,14,58,64,29,153,111,0,0,1,1,0,11
2015,"MUNICIPIO","421935",21,0,3,18,0,6,3,2,11,10,0,0,0,0,0,0
2015,"MUNICIPIO","421940",23,0,3,20,1,4,9,3,13,10,0,0,0,0,0,1
2015,"MUNICIPIO","421950",272,0,38,234,12,65,52,41,166,106,0,0,0,0,0,4
2015,"MUNICIPIO","421960",23,0,3,20,0,3,5,3,10,13,0,0,0,0,0,0
2015,"MUNICIPIO","421970",140,0,16,124,2,37,35,15,83,57,0,0,0,0,0,7
2015,"MUNICIPIO","421985",17,0,2,15,0,4,4,0,9,8,0,0,0,0,0,1
2015,"MUNICIPIO","422000",108,0,24,84,1,21,28,14,72,36,0,0,0,0,0,3
