"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"MUNICIPIO",421230,"4.515",""
2015,"MUNICIPIO",421240,"",""
2015,"MUNICIPIO",421250,"27.854",""
2015,"MUNICIPIO",421260,"1.847",""
2015,"MUNICIPIO",421265,"2.556",""
2015,"MUNICIPIO",421270,"2.230",""
2015,"MUNICIPIO",421290,"16.714",""
2015,"MUNICIPIO",421300,"2.321","854"
2015,"MUNICIPIO",421310,"4.295",""
2015,"MUNICIPIO",421315,"",""
2015,"MUNICIPIO",421320,"26.760","205"
2015,"MUNICIPIO",421330,"4.025",""
2015,"MUNICIPIO",421335,"3.045",""
2015,"MUNICIPIO",421340,"7.561",""
2015,"MUNICIPIO",421350,"18.495",""
2015,"MUNICIPIO",421360,"30.488","4.022"
2015,"MUNICIPIO",421370,"8.600",""
2015,"MUNICIPIO",421380,"4.500","1.500"
2015,"MUNICIPIO",421390,"740",""
2015,"MUNICIPIO",421400,"12.680",""
2015,"MUNICIPIO",421410,"842","2.300"
2015,"MUNICIPIO",421415,"1.389",""
2015,"MUNICIPIO",421420,"6.801","700"
2015,"MUNICIPIO",421430,"1.335","798"
2015,"MUNICIPIO",421440,"3.295",""
2015,"MUNICIPIO",421450,"3.848",""
2015,"MUNICIPIO",421460,"4.438",""
2015,"MUNICIPIO",421470,"6.138",""
2015,"MUNICIPIO",421480,"66.652",""
2015,"MUNICIPIO",421490,"1.934",""
2015,"MUNICIPIO",421500,"41.185","7.100"
2015,"MUNICIPIO",421505,"1.044",""
2015,"MUNICIPIO",421507,"2.649",""
2015,"MUNICIPIO",421510,"8.209",""
2015,"MUNICIPIO",421520,"2.011",""
2015,"MUNICIPIO",421530,"5.407",""
2015,"MUNICIPIO",421535,"1.790",""
2015,"MUNICIPIO",421540,"3.819",""
2015,"MUNICIPIO",421545,"5.750",""
2015,"MUNICIPIO",421550,"13.702",""
2015,"MUNICIPIO",421555,"1.700",""
2015,"MUNICIPIO",421560,"650",""
2015,"MUNICIPIO",421565,"8.100",""
2015,"MUNICIPIO",421567,"1.801",""
2015,"MUNICIPIO",421568,"1.112",""
2015,"MUNICIPIO",421569,"1.365",""
2015,"MUNICIPIO",421570,"21.920",""
2015,"MUNICIPIO",421580,"79.746","18.365"
2015,"MUNICIPIO",421575,"964",""
2015,"MUNICIPIO",421590,"774",""
2015,"MUNICIPIO",421600,"7.942",""
2015,"MUNICIPIO",421605,"4.091",""
2015,"MUNICIPIO",421610,"7.064",""
2015,"MUNICIPIO",421620,"42.774",""
2015,"MUNICIPIO",421630,"29.900",""
2015,"MUNICIPIO",421635,"1.691",""
2015,"MUNICIPIO",421625,"4.024",""
2015,"MUNICIPIO",421640,"995",""
2015,"MUNICIPIO",421650,"19.647","6.661"
2015,"MUNICIPIO",421660,"232.309","85.353"
2015,"MUNICIPIO",421670,"10.191",""
2015,"MUNICIPIO",421680,"2.512",""
2015,"MUNICIPIO",421690,"19.051",""
2015,"MUNICIPIO",421700,"11.238","10.970"
2015,"MUNICIPIO",421710,"948",""
2015,"MUNICIPIO",421715,"1.013",""
2015,"MUNICIPIO",421720,"29.628",""
2015,"MUNICIPIO",421725,"4.259",""
2015,"MUNICIPIO",421730,"5.678",""
2015,"MUNICIPIO",421740,"17.132",""
2015,"MUNICIPIO",421750,"10.954",""
2015,"MUNICIPIO",421755,"2.791","120"
2015,"MUNICIPIO",421760,"11.498",""
2015,"MUNICIPIO",421770,"21.000","14.000"
2015,"MUNICIPIO",421775,"1.706",""
2015,"MUNICIPIO",421780,"11.827",""
2015,"MUNICIPIO",421790,"5.340",""
2015,"MUNICIPIO",421795,"1.720",""
2015,"MUNICIPIO",421800,"33.000",""
2015,"MUNICIPIO",421810,"3.800",""
2015,"MUNICIPIO",421820,"39.800",""
2015,"MUNICIPIO",421825,"4.841",""
2015,"MUNICIPIO",421830,"",""
2015,"MUNICIPIO",421835,"2.754",""
2015,"MUNICIPIO",421840,"2.541",""
2015,"MUNICIPIO",421850,"5.932","2.009"
2015,"MUNICIPIO",421860,"5.541",""
2015,"MUNICIPIO",421870,"96.806",""
2015,"MUNICIPIO",421875,"4.010","70"
2015,"MUNICIPIO",421880,"8.354",""
2015,"MUNICIPIO",421885,"1.467",""
2015,"MUNICIPIO",421890,"6.655",""
2015,"MUNICIPIO",421895,"1.394",""
2015,"MUNICIPIO",421900,"19.200","3.240"
2015,"MUNICIPIO",421910,"2.127",""
2015,"MUNICIPIO",421915,"1.700",""
2015,"MUNICIPIO",421917,"3.420",""
2015,"MUNICIPIO",421920,"2.382",""
2015,"MUNICIPIO",421930,"49.110",""
2015,"MUNICIPIO",421935,"2.070",""
2015,"MUNICIPIO",421940,"1.961",""
2015,"MUNICIPIO",421950,"28.131",""
2015,"MUNICIPIO",421960,"941",""
2015,"MUNICIPIO",421970,"22.948",""
2015,"MUNICIPIO",421985,"",""
